name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Grosvenor Mountains 85205;11214;Valid;L6;999.9;Found;01.01.1985;-85.666670;175.000000;(-85.666670, 175.000000)
Lahmada 016;12429;Valid;H5;998;Found;01.01.1998;27.230000;-9.756670;(27.230000, -9.756670)
Dhofar 1590;52596;Valid;H5;996;Found;01.01.2004;18.951670;54.281170;(18.951670, 54.281170)
Dhofar 288;7071;Valid;L6;996;Found;01.01.2001;18.493330;54.133330;(18.493330, 54.133330)
Dhofar 836;7582;Valid;Ureilite;995;Found;01.01.2000;18.348670;54.214000;(18.348670, 54.214000)
Sutter's Mill;55529;Valid;C;992.5;Fell;01.01.2012;38.803890;-120.908060;(38.803890, -120.908060)
Asuka 882102;4811;Valid;L3;992.45;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Dar al Gani 501;6049;Valid;L5;992;Found;01.01.1997;27.300330;16.177670;(27.300330, 16.177670)
Acfer 104;113;Valid;H4/5;992;Found;01.01.1990;27.633330;4.366670;(27.633330, 4.366670)
Buckleboo;5160;Valid;H6;992;Found;01.01.1963;-32.955560;136.137500;(-32.955560, 136.137500)
Maldyak;15396;Valid;Iron, IIIAB;992;Found;01.01.1939;63.333330;148.166670;(63.333330, 148.166670)
Umm as Samim 003;24117;Valid;H3.7;991;Found;01.01.2001;21.320000;56.416670;(21.320000, 56.416670)
Dar al Gani 037;5553;Valid;LL6;990;Found;01.01.1995;27.107670;16.323830;(27.107670, 16.323830)
Queen Alexandra Range 97872;21326;Valid;LL5;99.9;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Elephant Moraine 96317;9908;Valid;L6;99.9;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Elephant Moraine 90356;8765;Valid;L6;99.9;Found;01.01.1990;-76.265720;156.408540;(-76.265720, 156.408540)
Asuka 881697;4406;Valid;H4;99.82;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 791587;26936;Valid;L4;99.82;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Dhofar 814;7560;Valid;H5;99.81;Found;01.01.2001;18.962200;54.590120;(18.962200, 54.590120)
Allan Hills 85130;995;Valid;H6;99.7;Found;01.01.1985;-76.821380;156.036420;(-76.821380, 156.036420)
Sayh al Uhaymir 532;55469;Valid;L6;99.67;Found;01.01.2010;20.134520;56.589770;(20.134520, 56.589770)
Grove Mountains 021797;46807;Valid;L6;99.66;Found;01.01.2003;-72.773890;75.324440;(-72.773890, 75.324440)
Asuka 881045;3754;Valid;L6;99.6;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 791186;26535;Valid;Eucrite-mmict;99.58;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Asuka 880620;3329;Valid;H3.7;99.57;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 82077;29271;Valid;H4;99.54;Found;01.01.1982;-71.500000;35.666670;(-71.500000, 35.666670)
Meteorite Hills 00594;15828;Valid;LL6;99.51;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Jiddat al Harasis 366;51633;Valid;L~6;99.5;Found;01.01.2003;19.656250;56.056100;(19.656250, 56.056100)
Dhofar 457;30416;Valid;Lunar (anorth);99.5;Found;01.01.2001;18.248350;54.001600;(18.248350, 54.001600)
Queen Alexandra Range 90255;19060;Valid;H6;99.5;Found;01.01.1990;-84.574840;162.572540;(-84.574840, 162.572540)
Queen Alexandra Range 90274;19078;Valid;L5;99.5;Found;01.01.1990;-84.594340;162.296310;(-84.594340, 162.296310)
Yamato 793582;28931;Valid;H4;99.49;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Queen Alexandra Range 97059;20466;Valid;LL5;99.4;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Lewis Cliff 85338;12808;Valid;H5;99.4;Found;01.01.1985;-84.265480;161.392580;(-84.265480, 161.392580)
Asuka 880644;3353;Valid;H4;99.38;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Asuka 880638;3347;Valid;H4;99.31;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Queen Alexandra Range 93696;19783;Valid;L5;99.3;Found;01.01.1993;-84.000000;168.000000;(-84.000000, 168.000000)
Allan Hills A77007;1322;Valid;H5;99.3;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Northwest Africa 2017;17609;Valid;L5;99.2;Found;01.01.2003;31.700000;-3.300000;(31.700000, -3.300000)
Queen Alexandra Range 94251;19889;Valid;L6;99.2;Found;01.01.1994;-84.000000;168.000000;(-84.000000, 168.000000)
Meteorite Hills 00575;15810;Valid;L5;99.16;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Queen Alexandra Range 971047;20558;Valid;H6;99.1;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
El Médano 149;56713;Valid;H5;99;Found;01.01.2011;-24.850000;-70.533330;(-24.850000, -70.533330)
Dhofar 219;7003;Valid;H5;99;Found;01.01.2001;18.140000;54.161670;(18.140000, 54.161670)
Dhofar 611;7368;Valid;H4;99;Found;01.01.2001;19.138920;54.881430;(19.138920, 54.881430)
Dar al Gani 390;5938;Valid;H6;99;Found;01.01.1997;27.464830;16.187330;(27.464830, 16.187330)
Queen Alexandra Range 93062;19151;Valid;L5;99;Found;01.01.1993;-84.591910;162.256840;(-84.591910, 162.256840)
Acfer 254;262;Valid;L6;99;Found;01.01.1991;27.522220;3.946940;(27.522220, 3.946940)
Acfer 249;257;Valid;H5/6;99;Found;01.01.1991;27.621670;3.953610;(27.621670, 3.953610)
Acfer 276;284;Valid;H5;99;Found;01.01.1991;27.639720;4.145280;(27.639720, 4.145280)
Forrest 034;10157;Valid;L6;99;Found;01.01.1991;-30.750000;128.083330;(-30.750000, 128.083330)
Plateau du Tademait 001;18847;Valid;H4;99;Found;01.01.1990;28.016670;0.300000;(28.016670, 0.300000)
Yamato 75277;25318;Valid;H6;99;Found;01.01.1975;-71.500000;35.666670;(-71.500000, 35.666670)
Northwest Africa 741;17820;Valid;H6;989;Found;01.01.2000;30.250000;-4.416670;(30.250000, -4.416670)
Hammadah al Hamra 044;11527;Valid;H4;989;Found;01.01.1994;29.250670;11.251670;(29.250670, 11.251670)
Ramlat as Sahmah 234;35666;Valid;L5-6;988.4;Found;01.01.2005;20.018120;56.421720;(20.018120, 56.421720)
Dhofar 664;7421;Valid;H5/6;988;Found;01.01.2001;19.104600;54.809450;(19.104600, 54.809450)
Acfer 111;120;Valid;H3-6;987;Found;01.01.1990;27.483330;3.800000;(27.483330, 3.800000)
Dhofar 432;7209;Valid;L5/6;986;Found;01.01.2001;18.620300;54.642830;(18.620300, 54.642830)
Arch;2327;Valid;CV3;985.8;Found;01.01.1972;34.150000;-103.220000;(34.150000, -103.220000)
Jiddat al Harasis 292;35610;Valid;L5;985.2;Found;01.01.2005;19.789180;56.480230;(19.789180, 56.480230)
Dhofar 054;6753;Valid;H4;985;Found;01.01.1999;19.142170;54.786830;(19.142170, 54.786830)
Dhofar 1701;56326;Valid;H5;984;Found;01.01.2010;18.520650;54.479850;(18.520650, 54.479850)
Spruce 001;56165;Valid;L5;983;Found;01.01.2011;40.801000;-114.701000;(40.801000, -114.701000)
Hammadah al Hamra 267;11750;Valid;L6;983;Found;01.01.2000;28.438000;12.829330;(28.438000, 12.829330)
Ramlat as Sahmah 395;55491;Valid;L6;982.5;Found;01.01.2010;20.146900;55.709220;(20.146900, 55.709220)
Dar al Gani 364;5912;Valid;L6;982;Found;01.01.1997;27.839330;15.891830;(27.839330, 15.891830)
Rogers;22645;Valid;L;982;Found;01.01.1974;34.065000;-103.408330;(34.065000, -103.408330)
Elephant Moraine 82606;7831;Valid;L6;981.9;Found;01.01.1982;-76.291390;157.208610;(-76.291390, 157.208610)
Jiddat al Harasis 405;48556;Valid;Eucrite;980;Found;01.01.2006;19.685780;56.624020;(19.685780, 56.624020)
Dar al Gani 743;6290;Valid;H6;980;Found;01.01.1998;27.120670;16.084000;(27.120670, 16.084000)
Sacramento Wash 001;34065;Valid;H4;98.9;Found;01.01.2003;34.756370;-114.234350;(34.756370, -114.234350)
Meteorite Hills 00424;15659;Valid;Diogenite;98.9;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Queen Alexandra Range 971051;20563;Valid;H6;98.9;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Allan Hills 85104;970;Valid;H5;98.9;Found;01.01.1985;-76.845770;156.435520;(-76.845770, 156.435520)
Roosevelt County 106;22761;Valid;L6;98.8;Found;01.01.2001;34.216670;-103.933330;(34.216670, -103.933330)
Meteorite Hills 01195;16427;Valid;Acapulcoite;98.7;Found;01.01.2001;-79.683330;159.750000;(-79.683330, 159.750000)
Queen Alexandra Range 93711;19797;Valid;H5;98.6;Found;01.01.1993;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 93712;19798;Valid;L6;98.6;Found;01.01.1993;-84.000000;168.000000;(-84.000000, 168.000000)
Meteorite Hills 01198;16430;Valid;Acapulcoite;98.5;Found;01.01.2001;-79.683330;159.750000;(-79.683330, 159.750000)
Hughes 044;11968;Valid;L5/6;98.5;Found;01.01.1993;-30.316670;129.683330;(-30.316670, 129.683330)
Dhofar 785;7531;Valid;H4/5;98.45;Found;01.01.2001;19.082350;54.452280;(19.082350, 54.452280)
Pecora Escarpment 02027;18209;Valid;LL5;98.44;Found;01.01.2002;-85.633330;-68.700000;(-85.633330, -68.700000)
Asuka 87170;2527;Valid;L3;98.42;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Elephant Moraine 96061;9655;Valid;L6;98.4;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
MacAlpine Hills 88147;15311;Valid;H5;98.4;Found;01.01.1988;-84.216670;160.500000;(-84.216670, 160.500000)
MacAlpine Hills 88174;15338;Valid;H3.5;98.4;Found;01.01.1988;-84.216670;160.500000;(-84.216670, 160.500000)
Elephant Moraine 87589;8139;Valid;L6;98.4;Found;01.01.1987;-76.272300;156.475580;(-76.272300, 156.475580)
Allan Hills 84169;771;Valid;L6;98.4;Found;01.01.1984;-76.747800;158.846290;(-76.747800, 158.846290)
Jiddat al Harasis 209;35528;Valid;Mesosiderite;98.37;Found;01.01.2002;19.986620;56.418430;(19.986620, 56.418430)
Asuka 881099;3808;Valid;CO3;98.35;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Queen Alexandra Range 99311;21761;Valid;H5;98.3;Found;01.01.1999;-84.000000;168.000000;(-84.000000, 168.000000)
Asuka 87138;2495;Valid;H4;98.26;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Elephant Moraine 99415;9958;Valid;H5;98.2;Found;01.01.1999;-76.183330;157.166670;(-76.183330, 157.166670)
Yamato 74159;24537;Valid;Eucrite-pmict;98.2;Found;01.01.1974;-71.762500;36.080560;(-71.762500, 36.080560)
Queen Alexandra Range 97870;21324;Valid;H6;98.1;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Yamato 75135;25176;Valid;L5;98.1;Found;01.01.1975;-71.500000;35.666670;(-71.500000, 35.666670)
Catalina 008;57172;Valid;CO3;98;Found;01.01.2011;-25.233330;-69.716670;(-25.233330, -69.716670)
El Médano 015;54479;Valid;H4;98;Found;01.01.2010;-24.850000;-70.533330;(-24.850000, -70.533330)
Dar al Gani 1053;53636;Valid;CV3;98;Found;01.01.2006;27.241670;16.232670;(27.241670, 16.232670)
Dhofar 733;7487;Valid;Lunar (anorth);98;Found;01.01.2002;18.588330;54.230000;(18.588330, 54.230000)
Dhofar 519;7280;Valid;H6;98;Found;01.01.2000;18.896670;54.538330;(18.896670, 54.538330)
Dhofar 234;7018;Valid;H6;98;Found;01.01.2000;19.070000;54.456670;(19.070000, 54.456670)
Sayh al Uhaymir 082;23274;Valid;L/LL4;98;Found;01.01.2000;21.051830;57.269670;(21.051830, 57.269670)
Dar al Gani 715;6262;Valid;L6;98;Found;01.01.1999;26.966670;16.366670;(26.966670, 16.366670)
Dar al Gani 289;5837;Valid;CO3;98;Found;01.01.1997;27.087500;16.051000;(27.087500, 16.051000)
Dar al Gani 506;6054;Valid;L6;98;Found;01.01.1997;27.271830;16.053500;(27.271830, 16.053500)
Dar al Gani 276;5824;Valid;Eucrite-pmict;98;Found;01.01.1997;27.377500;16.193170;(27.377500, 16.193170)
Queen Alexandra Range 97347;20805;Valid;L6;98;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Muckera 002;16822;Valid;Howardite;98;Found;01.01.1991;-30.050000;130.216670;(-30.050000, 130.216670)
Elephant Moraine 90505;8914;Valid;L6;98;Found;01.01.1990;-76.272380;156.434030;(-76.272380, 156.434030)
Queen Alexandra Range 90267;19071;Valid;L5;98;Found;01.01.1990;-84.614570;162.120540;(-84.614570, 162.120540)
Acfer 029;39;Valid;H4;98;Found;01.01.1989;27.683330;4.333330;(27.683330, 4.333330)
Acfer 015;25;Valid;L6;98;Found;01.01.1989;27.783330;4.283330;(27.783330, 4.283330)
Acfer 012;22;Valid;H6;98;Found;01.01.1989;27.800000;4.166670;(27.800000, 4.166670)
Geologists Range 99100;10874;Valid;H5;979.5;Found;01.01.1999;-82.500000;155.500000;(-82.500000, 155.500000)
Queen Alexandra Range 94206;19848;Valid;L6;979.3;Found;01.01.1994;-84.000000;168.000000;(-84.000000, 168.000000)
Sayh al Uhaymir 522;52007;Valid;L6;977.8;Found;01.01.2009;20.407020;56.652280;(20.407020, 56.652280)
Torino;24029;Valid;H6;977;Fell;01.01.1988;45.066670;7.666670;(45.066670, 7.666670)
Tanezrouft 062;23863;Valid;L5;974;Found;01.01.2002;25.425560;0.097500;(25.425560, 0.097500)
Dhofar 334;7117;Valid;H3.9;973;Found;01.01.2000;19.056670;54.698330;(19.056670, 54.698330)
Jajh deh Kot Lalu;12067;Valid;EL6;973;Fell;01.01.1926;26.750000;68.416670;(26.750000, 68.416670)
Hammadah al Hamra 301;11784;Valid;H5;972;Found;01.01.2000;28.388000;13.208170;(28.388000, 13.208170)
Bronco;5147;Valid;OC;972;Found;01.01.1971;33.283330;-102.966670;(33.283330, -102.966670)
Silet;45009;Valid;L5;971;Found;01.01.2004;22.783330;4.150000;(22.783330, 4.150000)
Yamato 75258;25299;Valid;LL6;971;Found;01.01.1975;-71.500000;35.666670;(-71.500000, 35.666670)
Miller (Kansas);16646;Valid;H4;970;Found;01.01.1950;38.625000;-96.022780;(38.625000, -96.022780)
Yamato 791879;27228;Valid;H4;97.96;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Ramlat al Wahibah 043;48630;Valid;H5;97.864000000000004;Found;01.01.2007;22.032100;58.196880;(22.032100, 58.196880)
Dhofar 247;7030;Valid;H6;97.8;Found;01.01.2001;18.985670;54.600830;(18.985670, 54.600830)
Dar al Gani 809;6356;Valid;L6;97.8;Found;01.01.2000;26.998170;16.439670;(26.998170, 16.439670)
Asuka 880956;3665;Valid;H3.7-6;97.8;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Lewis Cliff 87113;13583;Valid;L6;97.8;Found;01.01.1987;-84.363260;161.266070;(-84.363260, 161.266070)
Al Huqf 058;45828;Valid;L~6;97.7;Found;01.01.2001;19.342100;57.169300;(19.342100, 57.169300)
Elephant Moraine 96132;9724;Valid;L6;97.7;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Elephant Moraine 96134;9726;Valid;H5;97.7;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Forrest 001;10124;Valid;H5;97.7;Found;01.01.1967;-30.816670;128.216670;(-30.816670, 128.216670)
Kirbyville;12321;Valid;Eucrite-mmict;97.7;Fell;01.01.1906;30.750000;-95.950000;(30.750000, -95.950000)
Asuka 87245;2602;Valid;L6;97.65;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Asuka 881097;3806;Valid;H4;97.64;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 81030;29091;Valid;H5;97.61;Found;01.01.1981;-71.500000;35.666670;(-71.500000, 35.666670)
Queen Alexandra Range 93305;19393;Valid;L5;97.6;Found;01.01.1993;-84.577740;162.044240;(-84.577740, 162.044240)
Meteorite Hills 00534;15769;Valid;L6;97.57;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Ramlat as Sahmah 258;35687;Valid;H5;97.55;Found;01.01.2005;20.046370;56.330720;(20.046370, 56.330720)
Ramlat as Sahmah 001;22377;Valid;L6;97.53;Found;01.01.2003;20.202300;56.366680;(20.202300, 56.366680)
Meteorite Hills 00616;15850;Valid;LL6;97.51;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Jiddat al Harasis 281;35598;Valid;H5-6;97.5;Found;01.01.2005;19.737680;56.110870;(19.737680, 56.110870)
Asuka 881212;3921;Valid;H3.6;97.5;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Umm as Samim 018;55418;Valid;H5;97.48;Found;01.01.2010;21.229380;55.516920;(21.229380, 55.516920)
Sayh al Uhaymir 273;23446;Valid;L6;97.45;Found;01.01.2003;20.790280;57.194080;(20.790280, 57.194080)
Meteorite Hills 01113;16346;Valid;L4;97.4;Found;01.01.2001;-79.683330;159.750000;(-79.683330, 159.750000)
Yamato 794001;28955;Valid;L6;97.38;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 790539;25888;Valid;LL;97.36;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Asuka 881270;3979;Valid;H4;97.35;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Ramlat as Sahmah 251;35476;Valid;CV3;97.3;Found;01.01.2005;20.031380;56.455900;(20.031380, 56.455900)
Meteorite Hills 00552;15787;Valid;H3.4;97.3;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Elephant Moraine 90394;8803;Valid;L6;97.3;Found;01.01.1990;-76.268480;156.415230;(-76.268480, 156.415230)
Allan Hills A78052;1668;Valid;H5;97.3;Found;01.01.1978;-76.716670;159.666670;(-76.716670, 159.666670)
Sayh al Uhaymir 210;23383;Valid;L6;97.27;Found;01.01.2003;20.035770;57.220380;(20.035770, 57.220380)
Sayh al Uhaymir 404;35694;Valid;L6;97.27;Found;01.01.2003;20.035770;57.220380;(20.035770, 57.220380)
Grove Mountains 022446;46900;Valid;L5;97.22;Found;01.01.2003;-72.773060;75.339170;(-72.773060, 75.339170)
Yamato 793273;28622;Valid;H6;97.22;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Elephant Moraine 96346;9936;Valid;L6;97.2;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Asuka 87224;2581;Valid;L6;97.09;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Asuka 881830;4539;Valid;H6;97.08;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Asuka 881088;3797;Valid;L3.2;97.07;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 793202;28551;Valid;H4;97.01;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
United Arab Emirates 026;51048;Valid;L6;97;Found;01.01.2009;22.891830;55.181420;(22.891830, 55.181420)
Dhofar 609;7366;Valid;H4;97;Found;01.01.2001;18.737300;54.195370;(18.737300, 54.195370)
Acfer 398;55262;Valid;CR2;97;Found;01.01.2001;27.502170;3.860830;(27.502170, 3.860830)
Dhofar 166;6951;Valid;H6;97;Found;01.01.2000;19.047500;54.591940;(19.047500, 54.591940)
Hammadah al Hamra 326;11809;Valid;L4;97;Found;01.01.1999;28.652330;12.385500;(28.652330, 12.385500)
Dar al Gani 577;6124;Valid;H6;97;Found;01.01.1998;27.252670;16.269830;(27.252670, 16.269830)
Dar al Gani 557;6105;Valid;CM2;97;Found;01.01.1997;27.211000;16.351830;(27.211000, 16.351830)
Dar al Gani 278;5826;Valid;L6;97;Found;01.01.1997;27.378170;16.312170;(27.378170, 16.312170)
Cook 005;5425;Valid;L/LL3;97;Found;01.01.1990;-30.248330;130.540830;(-30.248330, 130.540830)
Dhofar 746;7492;Valid;H6;969;Found;01.01.2000;18.275620;54.321820;(18.275620, 54.321820)
Queen Alexandra Range 94211;19853;Valid;L6;968.8;Found;01.01.1994;-84.000000;168.000000;(-84.000000, 168.000000)
Hammadah al Hamra 128;11611;Valid;L4/5;968;Found;01.01.1995;28.501500;13.032330;(28.501500, 13.032330)
Guidder;11443;Valid;LL5;968;Fell;01.01.1949;9.916670;13.983330;(9.916670, 13.983330)
Hart;56555;Valid;CK3;966;Found;01.01.2010;34.377180;-102.116720;(34.377180, -102.116720)
Dhofar 420;7198;Valid;L5/6;966;Found;01.01.2001;18.762720;54.278380;(18.762720, 54.278380)
Dhofar 615;7372;Valid;L3;966;Found;01.01.2001;19.178630;54.892850;(19.178630, 54.892850)
Asuka 881790;4499;Valid;L6;964.65;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Sayh al Uhaymir 254;23427;Valid;L6;964.19;Found;01.01.2002;20.598900;57.020470;(20.598900, 57.020470)
North Haig;17004;Valid;Ureilite-pmict;964;Found;01.01.1961;-30.216670;126.216670;(-30.216670, 126.216670)
Ramlat as Sahmah 275;50963;Valid;L6;963.6;Found;01.01.2008;20.542600;56.106830;(20.542600, 56.106830)
Allan Hills A77296;1606;Valid;L6;963.3;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Sayh al Uhaymir 152;23344;Valid;L4;963;Found;01.01.2002;21.036920;57.289890;(21.036920, 57.289890)
Dhofar 660;7417;Valid;L5-6;963;Found;01.01.2001;19.126570;54.802970;(19.126570, 54.802970)
Grosvenor Mountains 95522;11250;Valid;Iron, IIIAB;962.5;Found;01.01.1995;-85.666670;175.000000;(-85.666670, 175.000000)
Asuka 881059;3768;Valid;H4;962.5;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Acfer 038;48;Valid;H5;962;Found;01.01.1989;27.533330;4.000000;(27.533330, 4.000000)
Berthoud;47355;Valid;Eucrite-mmict;960;Fell;01.01.2004;40.305830;-105.023250;(40.305830, -105.023250)
Asuka 881285;3994;Valid;H6;96.91;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Queen Alexandra Range 97555;21011;Valid;L6;96.9;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Hughes 046;11970;Valid;H5;96.9;Found;01.01.1993;-30.550000;129.650000;(-30.550000, 129.650000)
Elephant Moraine 90495;8904;Valid;L4;96.8;Found;01.01.1990;-76.273530;156.502260;(-76.273530, 156.502260)
Grove Mountains 022041;46576;Valid;L5;96.74;Found;01.01.2003;-72.778610;75.315280;(-72.778610, 75.315280)
Grove Mountains 052049;44887;Valid;L5;96.7;Found;01.01.2006;-72.773060;75.335560;(-72.773060, 75.335560)
Cuddeback Dry Lake 007;5486;Valid;L4;96.7;Found;01.01.2000;35.311400;-117.453420;(35.311400, -117.453420)
Asuka 880875;3584;Valid;H4;96.7;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Pecora Escarpment 02076;18258;Valid;L5;96.65;Found;01.01.2002;-85.633330;-68.700000;(-85.633330, -68.700000)
Ramlat as Sahmah 242;35674;Valid;LL4;96.62;Found;01.01.2005;20.017980;56.417980;(20.017980, 56.417980)
MacAlpine Hills 02539;14845;Valid;LL6;96.6;Found;01.01.2002;-84.216670;160.500000;(-84.216670, 160.500000)
Allan Hills 84123;725;Valid;LL6;96.6;Found;01.01.1984;-76.742810;158.833480;(-76.742810, 158.833480)
Yamato 791683;27032;Valid;L4;96.6;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 86632;30138;Valid;L3.6;96.59;Found;01.01.1986;-71.500000;35.666670;(-71.500000, 35.666670)
Grove Mountains 022036;46826;Valid;L5;96.54;Found;01.01.2003;-72.781940;75.301940;(-72.781940, 75.301940)
Queen Alexandra Range 93067;19156;Valid;L5;96.5;Found;01.01.1993;-84.579360;162.613900;(-84.579360, 162.613900)
Meteorite Hills 00598;15832;Valid;L6;96.49;Found;01.01.2000;-79.683330;155.750000;(-79.683330, 155.750000)
Yamato 791949;27298;Valid;H;96.45;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Dar al Gani 800;6347;Valid;H6;96.4;Found;01.01.2000;27.008830;16.460000;(27.008830, 16.460000)
Queen Alexandra Range 99786;22232;Valid;LL6;96.4;Found;01.01.1999;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 97321;20779;Valid;LL5;96.4;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 97322;20780;Valid;LL5;96.4;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Grove Mountains 021517;46753;Valid;H5;96.36;Found;01.01.2003;-72.936110;75.313610;(-72.936110, 75.313610)
Queen Alexandra Range 93075;19164;Valid;L6;96.2;Found;01.01.1993;-84.572610;162.138520;(-84.572610, 162.138520)
Pecora Escarpment 91238;18529;Valid;EH3;96.2;Found;01.01.1991;-85.659320;-68.101650;(-85.659320, -68.101650)
Pecora Escarpment 91412;18703;Valid;L6;96.2;Found;01.01.1991;-85.688320;-68.341020;(-85.688320, -68.341020)
Elephant Moraine 87822;8372;Valid;H5;96.2;Found;01.01.1987;-76.045400;156.476090;(-76.045400, 156.476090)
Allan Hills 83029;549;Valid;H5;96.2;Found;01.01.1983;-76.824300;158.228010;(-76.824300, 158.228010)
Yamato 82043;29237;Valid;L6;96.18;Found;01.01.1982;-71.500000;35.666670;(-71.500000, 35.666670)
Jiddat al Harasis 331;45855;Valid;L6;96.14;Found;01.01.2006;19.727670;55.726770;(19.727670, 55.726770)
Queen Alexandra Range 93264;19353;Valid;H6;96.1;Found;01.01.1993;-84.592770;162.337420;(-84.592770, 162.337420)
Allan Hills A77248;1559;Valid;H6;96.1;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Pnompehn;18851;Valid;L6;96;Fell;01.01.1868;11.583330;104.916670;(11.583330, 104.916670)
Thiel Mountains 07015;51018;Valid;H6;96;Found;01.01.2008;-85.348000;-87.230000;(-85.348000, -87.230000)
Dar al Gani 985;6525;Valid;L6;96;Found;01.01.2002;26.973330;16.541670;(26.973330, 16.541670)
Dhofar 1067;6873;Valid;H4-6;96;Found;01.01.2000;18.904150;54.703780;(18.904150, 54.703780)
Dar al Gani 928;6469;Valid;H3/4;96;Found;01.01.2000;26.900000;16.600000;(26.900000, 16.600000)
Dar al Gani 673;6220;Valid;L4/5;96;Found;01.01.2000;27.233330;16.116670;(27.233330, 16.116670)
Dar al Gani 702;6249;Valid;L6;96;Found;01.01.1999;26.983330;16.400000;(26.983330, 16.400000)
Dar al Gani 709;6256;Valid;L6;96;Found;01.01.1999;27.016670;16.366670;(27.016670, 16.366670)
Dar al Gani 691;6238;Valid;L5;96;Found;01.01.1999;27.150000;16.216670;(27.150000, 16.216670)
Dar al Gani 310;5858;Valid;H5/6;96;Found;01.01.1997;27.292000;16.112000;(27.292000, 16.112000)
Hammadah al Hamra 170;11653;Valid;H6;96;Found;01.01.1996;28.602170;13.431000;(28.602170, 13.431000)
Reid 024;22579;Valid;H5;96;Found;01.01.1993;-30.318330;128.383330;(-30.318330, 128.383330)
Acfer 279;287;Valid;H5;96;Found;01.01.1991;27.642780;4.068890;(27.642780, 4.068890)
