name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Grosvenor Mountains 95605;11333;Valid;L6;29.2;Found;01.01.1995;-85.666670;175.000000;(-85.666670, 175.000000)
Allan Hills 83058;578;Valid;L6;29.2;Found;01.01.1983;-76.806820;158.035660;(-76.806820, 158.035660)
Allan Hills A78027;1643;Valid;H5;29.2;Found;01.01.1978;-76.716670;159.666670;(-76.716670, 159.666670)
Yamato 792778;28127;Valid;LL4;29.19;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 791825;27174;Valid;CM2;29.15;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 791872;27221;Valid;H4;29.14;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Grove Mountains 051883;48245;Valid;L6;29.11;Found;01.01.2006;-72.778889;75.331389;(-72.778889, 75.331389)
Jungo 003;50764;Valid;H6;29.1;Found;01.01.2007;40.958050;-118.353050;(40.958050, -118.353050)
Queen Alexandra Range 02182;18994;Valid;H5;29.1;Found;01.01.2002;-84.000000;168.000000;(-84.000000, 168.000000)
Meteorite Hills 00836;16070;Valid;H5;29.1;Found;01.01.2000;-79.683330;159.750000;(-79.683330, 159.750000)
Queen Alexandra Range 99460;21906;Valid;L6;29.1;Found;01.01.1999;-84.000000;168.000000;(-84.000000, 168.000000)
Frontier Mountain 97033;10762;Valid;H4/5;29.1;Found;01.01.1997;-72.953610;160.505280;(-72.953610, 160.505280)
Queen Alexandra Range 97148;20606;Valid;LL5;29.1;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 97149;20607;Valid;LL5;29.1;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Elephant Moraine 96181;9773;Valid;H5;29.1;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Wisconsin Range 91606;24296;Valid;L5;29.1;Found;01.01.1991;-86.521460;-123.835980;(-86.521460, -123.835980)
Elephant Moraine 90137;8546;Valid;L6;29.1;Found;01.01.1990;-76.270410;156.450930;(-76.270410, 156.450930)
Elephant Moraine 90835;9244;Valid;L6;29.1;Found;01.01.1990;-76.272660;156.504350;(-76.272660, 156.504350)
Elephant Moraine 90851;9260;Valid;L6;29.1;Found;01.01.1990;-76.280210;156.512290;(-76.280210, 156.512290)
Elephant Moraine 90765;9174;Valid;L6;29.1;Found;01.01.1990;-76.284530;156.460330;(-76.284530, 156.460330)
Allan Hills 88029;1073;Valid;H5;29.1;Found;01.01.1988;-76.692220;159.295760;(-76.692220, 159.295760)
Lewis Cliff 88162;13915;Valid;H5;29.1;Found;01.01.1988;-84.237500;161.434520;(-84.237500, 161.434520)
